,name,title,medium,year,size,sale,sold,estimate,artist,gender,nationality,birthday,hometown
966,Gustave Caillebotte,Jeune homme à sa fenêtre,oil on canvas,1876,Height 45.7 in.; Width 31.9 in. / Height 116 cm.; Width 81 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0023C]
The Cox Collection: The Story of Impressionism, Evening Sale","53,030,000 USD Premium",No Estimate Received,gustave-caillebotte,male,French,1848,"Paris, France"
967,Gustave Caillebotte,"Linge séchant, Petit Gennevilliers",oil on canvas,1888,Height 21.5 in.; Width 25.7 in. / Height 54.6 cm.; Width 65.3 cm.,"Christie's New York: Thursday, October 8, 2020 [Lot 00550]
Impressionist & Modern Art Day Sale",Bought In,"250,000 - 450,000 USD ?",gustave-caillebotte,male,French,1848,"Paris, France"
968,Ed Ruscha,Ripe,oil on canvas,1967,Height 59.3 in.; Width 54.8 in. / Height 150.5 cm.; Width 139.1 cm.,"18,000,000 - 22,000,000 USD ?",,"20,000,000 USD Premium ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
969,Ed Ruscha,Babycakes with Weights,offset printed plates on glossy paper,1970,Height 7.5 in.; Width 6 in. / Height 19 cm.; Width 15.2 cm.,"Christie's New York: Wednesday, October 6, 2021 [Lot 00023]
Photographs",125 USD Premium,"1,500 - 2,500 USD ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
970,Ed Ruscha,"Vacant Lots, 1970",gelatin silver prints,1970,Later Imp 2003,30/35,,,ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
971,Ed Ruscha,Palapa,acrylic on canvas,1996,Height 36 in.; Width 24 in. / Height 91.4 cm.; Width 61 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00031]
Post-War to Present",Bought In,"400,000 - 600,000 USD ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
972,Ed Ruscha,Rooster,acrylic on museum board,2007,Height 28 in.; Width 24 in. / Height 71.1 cm.; Width 61 cm.,"Christie's New York: Thursday, December 3, 2020 [Lot 00229]
Post-War & Contemporary Art Day Sale, Featuring The Collection of Morton and Barbara Mandel","162,500 USD Premium","120,000 - 180,000 USD ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
973,Ed Ruscha,"City, with Marbles",oil on canvas,1969,Height 20 in.; Width 24 in. / Height 50.8 cm.; Width 61 cm.,"Christie's New York: Wednesday, October 7, 2020 [Lot 00121]
Post-War & Contemporary Art Day Sale","2,670,000 USD Premium","2,500,000 - 3,500,000 USD ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
974,Ed Ruscha,An Invasion of Privacy,grass stain on canvas,1973,Height 54.4 in.; Width 59.9 in. / Height 138.1 cm.; Width 152.1 cm.,"Christie's New York: Tuesday, October 6, 2020 [Lot 00018]
20th Century Evening Sale","3,150,000 USD Premium","2,500,000 - 3,500,000 USD ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
975,Ed Ruscha,"Gasoline Stations, 1962",gelatin silver print,1962,Later Imp 1989,18/25,,,ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
976,Ed Ruscha,"Parking Lots, 1967",gelatin silver print,1967,Later Imp 1999,1/35,,,ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
977,Ed Ruscha,Annie,oil and graphite on canvas,1962,Height 71.3 in.; Width 66.7 in. / Height 181 cm.; Width 169.5 cm.,"20,000,000 - 30,000,000 USD ?",,"22,975,000 USD Premium ?",ed-ruscha,male,American,1937,"Omaha, Nebraska, United States"
978,Edward Hopper,Two Puritans,oil on canvas,1945,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0039C]
20th Century Evening Sale","11,581,000 USD Premium","10,000,000 - 15,000,000 USD ?",edward-hopper,male,American,1882,"Nyack, New York"
979,Cy Twombly,Untitled,"oil, wax crayon, graphite and colored pencil on canvas",1961,Height 78.4 in.; Width 90.7 in. / Height 199.1 cm.; Width 230.5 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0050C]
20th Century Evening Sale","32,000,000 USD Premium",No Estimate Received,cy-twombly,male,American,1928,"Lexington, VA, United States"
980,Cy Twombly,Duino,oil-based house paint and wax crayon on canvas,1967,Height 70 in.; Width 58 in. / Height 177.8 cm.; Width 147.3 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0066C]
20th Century Evening Sale","6,030,000 USD Premium","8,000,000 - 12,000,000 USD ?",cy-twombly,male,American,1928,"Lexington, VA, United States"
981,Cy Twombly,Untitled [Bolsena],"oil-based house paint, wax crayon, graphite and felt-tip pen on canvas",1969,Height 78.5 in.; Width 94.5 in. / Height 199.4 cm.; Width 240 cm.,"Christie's New York: Tuesday, October 6, 2020 [Lot 00016]
20th Century Evening Sale","38,685,000 USD Premium","35,000,000 - 45,000,000 USD ?",cy-twombly,male,American,1928,"Lexington, VA, United States"
982,Joan Mitchell,Butterfly Beach,triptych—oil on canvas,1971,Height 39.5 in.; Width 89.5 in. / Height 100.3 cm.; Width 227.3 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0051C]
20th Century Evening Sale","6,270,000 USD Premium","5,000,000 - 7,000,000 USD ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
983,Joan Mitchell,Little Rain,diptych—oil on canvas,1989,Height 13 in.; Width 18.9 in. / Height 33 cm.; Width 47.9 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00025]
Post-War to Present","475,000 USD Premium","300,000 - 500,000 USD ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
984,Joan Mitchell,Untitled,diptych—oil on canvas,1977,Height 76.5 in.; Width 89.3 in. / Height 194.3 cm.; Width 226.7 cm.,"Christie's New York: Thursday, May 13, 2021 [Lot 0009B]
20th Century Evening Sale","12,382,500 USD Premium","10,000,000 - 15,000,000 USD ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
985,Joan Mitchell,Rain,diptych—oil on canvas,1989,Height 94.4 in.; Width 156.5 in. / Height 239.7 cm.; Width 397.5 cm.,"Christie's New York: Thursday, May 13, 2021 [Lot 0041B]
20th Century Evening Sale","6,630,000 USD Premium","5,000,000 - 7,000,000 USD ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
986,Joan Mitchell,Trees,diptych—oil on canvas,1990-1991,Height 86.6 in.; Width 157.5 in. / Height 220 cm.; Width 400 cm.,"Christie's New York: Wednesday, December 2, 2020 [Lot 00027]
20th Century: Hong Kong to New York","4,230,000 USD Premium","5,000,000 - 7,000,000 USD ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
987,Joan Mitchell,Untitled,oil on canvas,Circa 1958-1959,Height 38.3 in.; Width 51.3 in. / Height 97.2 cm.; Width 130.2 cm.,"Christie's New York: Tuesday, October 6, 2020 [Lot 00012]
20th Century Evening Sale","4,110,000 USD Premium","3,500,000 - 5,500,000 USD ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
988,Joan Mitchell,La Grande Vallée VII,diptych—oil on canvas,1983,Height 102.4 in.; Width 102.4 in. / Height 260 cm.; Width 260 cm.,"10,000,000 - 15,000,000 USD ?",,"14,462,500 USD Premium ?",joan-mitchell,female,American,1925,"Chicago, Illinois"
989,Giorgio Morandi,Natura morta,oil on canvas,1948,Height 18.5 in.; Width 20.7 in. / Height 47 cm.; Width 52.5 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0057C]
20th Century Evening Sale",Bought In,"1,500,000 - 2,500,000 USD ?",giorgio-morandi,male,Italian,1890,"Bologna, Italy"
990,Berthe Morisot,Fillette portant un panier,oil on canvas,1888,Height 27.5 in.; Width 20.2 in. / Height 69.9 cm.; Width 51.2 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0011C]
The Cox Collection: The Story of Impressionism, Evening Sale","5,310,000 USD Premium","2,000,000 - 3,000,000 USD ?",berthe-morisot,female,French,1841,"Bourges, France"
991,Henri de Toulouse-Lautrec,La Goulue en Almée,oil and peinture a l'essence on board,1895,Height 27 in.; Width 19.1 in. / Height 68.6 cm.; Width 48.4 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0021C]
The Cox Collection: The Story of Impressionism, Evening Sale","1,590,000 USD Premium","80,000 - 120,000 USD ?",henri-de-toulouse-lautrec,male,French,1864,"Albi, France"
992,Henri de Toulouse-Lautrec,Pierreuse,oil on canvas,1889,Height 28.2 in.; Width 19.1 in. / Height 71.7 cm.; Width 48.5 cm.,"Christie's New York: Wednesday, December 2, 2020 [Lot 00037]
20th Century: Hong Kong to New York","9,062,000 USD Premium","3,000,000 - 5,000,000 USD ?",henri-de-toulouse-lautrec,male,French,1864,"Albi, France"
993,Henri de Toulouse-Lautrec,Cavalier de chasse à courre ressanglant son cheval,oil on panel laid down on panel,1879,Height 9.1 in.; Width 6.5 in. / Height 23.2 cm.; Width 16.5 cm.,"Christie's New York: Thursday, October 8, 2020 [Lot 00555]
Impressionist & Modern Art Day Sale","187,500 USD Premium","150,000 - 200,000 USD ?",henri-de-toulouse-lautrec,male,French,1864,"Albi, France"
994,Henri de Toulouse-Lautrec,Cheval de chasse à courre,oil on panel,1880,Height 9.4 in.; Width 7.1 in. / Height 24 cm.; Width 18 cm.,"Christie's New York: Thursday, October 8, 2020 [Lot 00554]
Impressionist & Modern Art Day Sale","225,000 USD Premium","180,000 - 250,000 USD ?",henri-de-toulouse-lautrec,male,French,1864,"Albi, France"
995,Willem de Kooning,Untitled VII,oil on canvas,1981,Height 80 in.; Width 70 in. / Height 203.2 cm.; Width 177.8 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0040C]
20th Century Evening Sale","14,558,000 USD Premium","8,000,000 - 12,000,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
996,Willem de Kooning,Untitled,oil on paper laid down on Masonite,1965,Height 23.7 in.; Width 18.9 in. / Height 60.3 cm.; Width 47.9 cm.,"Christie's New York: Friday, May 14, 2021 [Lot 00144]
Post-War & Contemporary Art Day Sale",Bought In,"400,000 - 600,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
997,Willem de Kooning,Woman,"oil, enamel and charcoal on paper laid down on canvas",Circa 1952-1953,Height 22.6 in.; Width 19 in. / Height 57.5 cm.; Width 48.3 cm.,"Christie's New York: Thursday, May 13, 2021 [Lot 0028B]
20th Century Evening Sale","8,489,500 USD Premium","7,000,000 - 10,000,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
998,Willem de Kooning,East Hampton VI,oil on canvas,1977,Height 30.1 in.; Width 36 in. / Height 76.5 cm.; Width 91.4 cm.,"Christie's New York: Thursday, May 13, 2021 [Lot 0003B]
20th Century Evening Sale","10,436,000 USD Premium","4,000,000 - 6,000,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
999,Willem de Kooning,Woman (Green,oil and charcoal on canvas,Circa 1953-1955,Height 30.2 in.; Width 23.3 in. / Height 76.8 cm.; Width 59.1 cm.,"Christie's New York: Tuesday, October 6, 2020 [Lot 00007]
20th Century Evening Sale","23,260,000 USD Premium","20,000,000 - 30,000,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
1000,Willem de Kooning,Untitled,oil and charcoal on paper mounted on canvas,1981-1982,Height 41.5 in.; Width 30.4 in. / Height 105.4 cm.; Width 77.2 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00194]
Post-War & Contemporary Art Day Sale",Bought In,"800,000 - 1,200,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
1001,Willem de Kooning,Seated Woman,"oil, charcoal and graphite on paper mounted on Masonite",Circa 1949,Height 18 in.; Width 22 in. / Height 45.7 cm.; Width 55.9 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00197]
Post-War & Contemporary Art Day Sale","375,000 USD Premium","600,000 - 800,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
1002,Willem de Kooning,Two Women in a Landscape,oil and charcoal on paper mounted on canvas,Circa 1976,Height 30.1 in.; Width 35 in. / Height 76.5 cm.; Width 88.9 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00120]
Post-War & Contemporary Art Day Sale","1,119,000 USD Premium","900,000 - 1,500,000 USD ?",willem-de-kooning,male,Dutch-American,1904,"Rotterdam, Netherlands"
1003,Jacob Lawrence,Red Earth – Georgia,tempera on board,1947,Height 20.1 in.; Width 24 in. / Height 51.1 cm.; Width 61 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0031C]
20th Century Evening Sale","4,470,000 USD Premium","2,000,000 - 3,000,000 USD ?",jacob-lawrence,male,American,1917,"Atlantic City, New Jersey"
1004,Kazuo Shiraga,Chiken-sei kendoshin,oil on canvas,1961,Height 63.5 in.; Width 51.1 in. / Height 161.3 cm.; Width 129.9 cm.,"Christie's New York: Thursday, November 11, 2021 [Lot 0079C]
20th Century Evening Sale","3,330,000 USD Premium","2,500,000 - 3,500,000 USD ?",kazuo-shiraga,male,Japanese,1924,"Amagasaki, Japan"
1005,Elizabeth Peyton,Liam + Noel in the 70’s,oil on canvas,1997,Height 40 in.; Width 30 in. / Height 101.6 cm.; Width 76.2 cm.,"800,000 - 1,200,000 USD ?",,"2,070,000 USD Premium ?",elizabeth-peyton,female,American,1965,"Danbury, Connecticut"
1006,Elizabeth Peyton,Adrien + Halle,oil on panel,2003,Height 9 in.; Width 7 in. / Height 22.8 cm.; Width 17.8 cm.,"Christie's New York: Wednesday, October 7, 2020 [Lot 00141]
Post-War & Contemporary Art Day Sale","281,250 USD Premium","250,000 - 350,000 USD ?",elizabeth-peyton,female,American,1965,"Danbury, Connecticut"
1007,Jean-Michel Basquiat,Flash in Naples,"acrylic, oil and oilstick on canvas",1983,Height 66 in.; Width 60.1 in. / Height 167.6 cm.; Width 152.7 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0024A]
21st Century Evening Sale","19,825,000 USD Premium","14,000,000 - 18,000,000 USD ?",jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1008,Jean-Michel Basquiat,The Guilt of Gold Teeth,"acrylic, spray paint and oilstick on canvas",1982,Height 94.5 in.; Width 165.9 in. / Height 240 cm.; Width 421.3 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0019A]
21st Century Evening Sale","40,000,000 USD Premium","40,000,000 - 80,000,000 USD ?",jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1009,Jean-Michel Basquiat,Every Body 2 Cents,acrylic and oil on canvas,1984,Height 84 in.; Width 68 in. / Height 213.4 cm.; Width 172.7 cm.,"2,200,000 - 2,800,000 USD ?",,"2,910,000 USD Premium ?",jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1010,Jean-Michel Basquiat,In This Case,acrylic and oilstick on canvas,1983,Height 77.9 in.; Width 73.7 in. / Height 197.8 cm.; Width 187.3 cm.,"Christie's New York: Tuesday, May 11, 2021 [Lot 0008A]
21st Century Evening Sale","93,105,000 USD Premium",No Estimate Received,jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1011,Jean-Michel Basquiat,Untitled (Soap),"acrylic, oilstick, metallic paint and Xerox collage on canvas",1983-1984,Height 66 in.; Width 60 in. / Height 167.6 cm.; Width 152.4 cm.,"10,000,000 - 15,000,000 USD ?",,"13,184,000 USD Premium ?",jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1012,Jean-Michel Basquiat,JD Card,acrylic on canvas,1984,Height 86 in.; Width 67.9 in. / Height 218.4 cm.; Width 172.4 cm.,"Christie's New York: Wednesday, December 2, 2020 [Lot 00019]
20th Century: Hong Kong to New York","3,270,000 USD Premium","2,000,000 - 3,000,000 USD ?",jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1013,Jean-Michel Basquiat,MP,acrylic and xerox collage on canvas,1984,Height 86 in.; Width 68 in. / Height 218.4 cm.; Width 172.8 cm.,"Christie's New York: Tuesday, October 6, 2020 [Lot 00034]
20th Century Evening Sale","4,590,000 USD Premium","4,000,000 - 6,000,000 USD ?",jean-michel-basquiat,male,American,1960,"Brooklyn, NY, USA"
1014,Mark Bradford,The Next Hot Line,mixed media on canvas,2015,Height 84.3 in.; Width 108.3 in. / Height 214 cm.; Width 275 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0029A]
21st Century Evening Sale","5,790,000 USD Premium","4,000,000 - 6,000,000 USD ?",mark-bradford,male,American,1961,"Los Angeles, California"
1015,Mark Bradford,Amendment #1,mixed media on canvas,2013,Height 48 in.; Width 60 in. / Height 122 cm.; Width 152.5 cm.,"Christie's New York: Tuesday, May 11, 2021 [Lot 0010A]
21st Century Evening Sale","5,070,000 USD Premium","2,000,000 - 3,000,000 USD ?",mark-bradford,male,American,1961,"Los Angeles, California"
1016,Mark Bradford,Untitled,mixed media on paper,2006,Height 13.6 in.; Width 21.9 in. / Height 34.6 cm.; Width 55.6 cm.,"80,000 - 120,000 USD ?",,"100,000 USD Premium ?",mark-bradford,male,American,1961,"Los Angeles, California"
1017,Mark Bradford,Ghost Money,mixed media collage on canvas,2007,Height 101.8 in.; Width 143.7 in. / Height 258.5 cm.; Width 365 cm.,"Christie's New York: Tuesday, October 6, 2020 [Lot 00033]
20th Century Evening Sale","6,984,500 USD Premium","5,500,000 - 7,500,000 USD ?",mark-bradford,male,American,1961,"Los Angeles, California"
1018,Barbara Kruger,Untitled (Your Manias Become Science),black and white photograph,1981,Height 49 in.; Width 61.5 in. / Height 124.5 cm.; Width 156.2 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0016A]
21st Century Evening Sale","1,170,000 USD Premium","500,000 - 700,000 USD ?",barbara-kruger,female,American,1945,"Newark, United States"
1019,Peter Doig,Swamped,oil on canvas,1990,Height 77.6 in.; Width 94.9 in. / Height 197 cm.; Width 241 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0009A]
21st Century Evening Sale","39,862,500 USD Premium",No Estimate Received,peter-doig,male,British,1959,"Edinburgh, United Kingdom"
1020,Damien Hirst,Veil of Hidden Meaning,oil on canvas,2017,Height 120 in.; Width 96 in. / Height 304.8 cm.; Width 243.8 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0026A]
21st Century Evening Sale","1,470,000 USD Premium","800,000 - 1,200,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1021,Damien Hirst,Beautiful cracked egg in a raspberry fool painting,household gloss on canvas,2005,Height 36 in.; Width 52 in. / Height 91.4 cm.; Width 132.1 cm.,"200,000 - 300,000 USD ?",,Bought In,damien-hirst,male,British,1965,"Bristol, United Kingdom"
1022,Damien Hirst,A Playful Bubblegum Kiss,butterflies and household gloss on canvas,2006,Height 12 in.; Width 16 in. / Height 30.5 cm.; Width 40.6 cm.,"Christie's New York: Friday, May 14, 2021 [Lot 00236]
Post-War & Contemporary Art Day Sale","90,000 USD Premium","40,000 - 60,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1023,Damien Hirst,"Psalm 30: Exaltabo te, Domine",butterflies and household gloss on canvas,2008,Height 18 in.; Width 18 in. / Height 45.7 cm.; Width 45.7 cm.,"Christie's New York: Thursday, December 3, 2020 [Lot 00457]
Post-War & Contemporary Art Day Sale, Featuring The Collection of Morton and Barbara Mandel","77,500 USD Premium","80,000 - 120,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1024,Damien Hirst,Psalm 19: Coeli enarrant,butterflies and household gloss on canvas,2008,Width 18 in.; Depth 18 in. / Width 45.7 cm.; Depth 45.7 cm.,"Christie's New York: Thursday, December 3, 2020 [Lot 00458]
Post-War & Contemporary Art Day Sale, Featuring The Collection of Morton and Barbara Mandel","77,500 USD Premium","80,000 - 120,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1025,Damien Hirst,Naja Nivea,household gloss on canvas,2000,Height 60 in.; Width 108 in. / Height 152.4 cm.; Width 274.3 cm.,"350,000 - 550,000 USD ?",,Bought In,damien-hirst,male,British,1965,"Bristol, United Kingdom"
1026,Damien Hirst,Caprica 6,"butterflies and household gloss on canvas, in six parts",2008,Height 24 in.; Width 18 in. / Height 61 cm.; Width 45.7 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00216]
Post-War & Contemporary Art Day Sale",Bought In,"250,000 - 350,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1027,Damien Hirst,Beautiful Shattering Shuddering Can You Feel the Earth Move? Painting,household gloss on canvas,2008,Height 60 in.; Width 60 in. / Height 152.4 cm.; Width 152.4 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00242]
Post-War & Contemporary Art Day Sale","225,000 USD Premium","180,000 - 250,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1028,Damien Hirst,Beautiful Elephant in a Tutu Painting,household gloss on canvas,2007,Height 35.5 in.; Width 35.5 in. / Height 90.2 cm.; Width 90.2 cm.,"Christie's New York: Thursday, March 5, 2020 [Lot 00294]
Post-War to Present","150,000 USD Premium","100,000 - 150,000 USD ?",damien-hirst,male,British,1965,"Bristol, United Kingdom"
1029,Georg Baselitz,Frau am Strand,oil on canvas,1981,Height 78.6 in.; Width 98.3 in. / Height 199.7 cm.; Width 249.6 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0032A]
21st Century Evening Sale","4,110,000 USD Premium","3,500,000 - 4,500,000 USD ?",georg-baselitz,male,German,1938,"Deutschbaselitz, Germany"
1030,Georg Baselitz,Willem de K.,oil on canvas,2018,Height 65 in.; Width 39.4 in. / Height 165 cm.; Width 100 cm.,"Christie's New York: Friday, May 14, 2021 [Lot 00177]
Post-War & Contemporary Art Day Sale","687,500 USD Premium","500,000 - 700,000 USD ?",georg-baselitz,male,German,1938,"Deutschbaselitz, Germany"
1031,Georg Baselitz,Gundel,oil on canvas,1992,Height 51.5 in.; Width 38.6 in. / Height 130.8 cm.; Width 98.1 cm.,"Christie's New York: Thursday, December 3, 2020 [Lot 00126]
Post-War & Contemporary Art Day Sale, Featuring The Collection of Morton and Barbara Mandel","212,500 USD Premium","180,000 - 250,000 USD ?",georg-baselitz,male,German,1938,"Deutschbaselitz, Germany"
1032,Stanley Whitney,Untitled,oil on linen,1999,Height 72.5 in.; Width 85 in. / Height 184.2 cm.; Width 215.9 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0008A]
21st Century Evening Sale","1,230,000 USD Premium","500,000 - 700,000 USD ?",stanley-whitney,male,American,1946,"Philadelphia, PA, USA"
1033,Stanley Whitney,Untitled,oil on canvas,2002,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00033]
Post-War to Present","62,500 USD Premium","25,000 - 35,000 USD ?",stanley-whitney,male,American,1946,"Philadelphia, PA, USA"
1034,Stanley Whitney,Untitled,oil on canvas,2001,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00032]
Post-War to Present","62,500 USD Premium","25,000 - 35,000 USD ?",stanley-whitney,male,American,1946,"Philadelphia, PA, USA"
1035,Stanley Whitney,Untitled,oil on canvas,2006,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00168]
Post-War & Contemporary Art Day Sale","37,500 USD Premium","25,000 - 35,000 USD ?",stanley-whitney,male,American,1946,"Philadelphia, PA, USA"
1036,Stanley Whitney,Thelonious Monk's Garden,oil on canvas,2005,Height 24 in.; Width 24 in. / Height 61 cm.; Width 61 cm.,"Christie's New York: Thursday, March 5, 2020 [Lot 00206]
Post-War to Present","102,500 USD Premium","50,000 - 70,000 USD ?",stanley-whitney,male,American,1946,"Philadelphia, PA, USA"
1037,Jack Whitten,The Eleventh Loop (Dedicated To The Memory Of Adrienne Rich),acrylic on canvas,2012,Height 48 in.; Width 120 in. / Height 121.9 cm.; Width 304.8 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0034A]
21st Century Evening Sale","1,230,000 USD Premium","1,000,000 - 1,500,000 USD ?",jack-whitten,male,American,1939,"Bessemer, Alabama"
1038,Jack Whitten,Crystal Palace: For Jeanne Siegel,acrylic on canvas,2014,Height 48.1 in.; Width 48.1 in. / Height 122.3 cm.; Width 122.3 cm.,"Christie's New York: Friday, May 14, 2021 [Lot 00118]
Post-War & Contemporary Art Day Sale","1,010,000 USD Premium","800,000 - 1,200,000 USD ?",jack-whitten,male,American,1939,"Bessemer, Alabama"
1039,Jack Whitten,Site VIII,"string, acrylic and screws on board mounted on canvas",1987,Height 12.2 in.; Width 12.4 in. / Height 31 cm.; Width 31.5 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00163]
Post-War & Contemporary Art Day Sale",Bought In,"80,000 - 120,000 USD ?",jack-whitten,male,American,1939,"Bessemer, Alabama"
1040,Jack Whitten,Loop #41 (Spiral),acrylic on masonite,2012,Height 8 in.; Width 8 in. / Height 20.3 cm.; Width 20.3 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00187]
Post-War & Contemporary Art Day Sale",Bought In,"40,000 - 60,000 USD ?",jack-whitten,male,American,1939,"Bessemer, Alabama"
1041,Dana Schutz,Smokers,oil on canvas,2021,Height 72 in.; Width 48 in. / Height 182.9 cm.; Width 121.9 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0028A]
21st Century Evening Sale","1,830,000 USD Premium","400,000 - 600,000 USD ?",dana-schutz,female,American,1976,"Livonia, Michigan"
1042,Dana Schutz,The Fishermen,oil on canvas,2021,Height 90 in.; Width 96 in. / Height 228.6 cm.; Width 243.8 cm.,"Christie's New York: Tuesday, May 11, 2021 [Lot 0039A]
21st Century Evening Sale","2,970,000 USD Premium","400,000 - 600,000 USD ?",dana-schutz,female,American,1976,"Livonia, Michigan"
1043,Dana Schutz,Spiderman,oil on canvas,2002,Height 66 in.; Width 71 in. / Height 167.6 cm.; Width 180.3 cm.,"300,000 - 500,000 USD ?",,"375,000 USD Premium ?",dana-schutz,female,American,1976,"Livonia, Michigan"
1044,Mickalene Thomas,Don’t Forget About Me (Keri),"rhinestones, acrylic and enamel on panel",2009,Height 84 in.; Width 72.1 in. / Height 213.4 cm.; Width 183.2 cm.,"Christie's New York: Tuesday, November 9, 2021 [Lot 0030A]
21st Century Evening Sale","525,000 USD Premium","400,000 - 600,000 USD ?",mickalene-thomas,female,American,1971,"Camden, New Jersey"
1045,Mickalene Thomas,Hair Portrait #16,"rhinestones and acrylic on wood panel, in four parts",2013,Height 24 in.; Width 20 in. / Height 61 cm.; Width 50.8 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00052]
Post-War to Present","75,000 USD Premium","70,000 - 100,000 USD ?",mickalene-thomas,female,American,1971,"Camden, New Jersey"
1046,Mickalene Thomas,Portrait of Aaliyah,"rhinestones, oil stick, acrylic, and oil paint on wood panel",2018,Height 48.1 in.; Width 60 in.; Depth 2 in. / Height 122.2 cm.; Width 152.4 cm.; Depth 5.1 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00050]
Post-War to Present","625,000 USD Premium","200,000 - 300,000 USD ?",mickalene-thomas,female,American,1971,"Camden, New Jersey"
1047,Mickalene Thomas,"A, E, I, O, U (And sometimes Y)","triptych—acrylic, enamel and rhinestones on panel",2009-2011,Height 24 in.; Width 20 in. / Height 60.9 cm.; Width 50.8 cm.,"Christie's New York: Friday, May 14, 2021 [Lot 00224]
Post-War & Contemporary Art Day Sale","112,500 USD Premium","70,000 - 100,000 USD ?",mickalene-thomas,female,American,1971,"Camden, New Jersey"
